measure,site,exposure,n_universe,n_observed,pct_suppressed,RR_cc,RR_cc_lo,RR_cc_hi,RR_model,RR_bound_lo,RR_bound_hi,RD_cc,RD_model,RD_bound_lo,RD_bound_hi,grad_cc,grad_model,rate_most_cc,rate_least_cc,RR_relchange_model_vs_cc
incidence,Breast (Female),ice,3017,2794,7.4,0.868749332044046,0.8515510467826992,0.8874056162892927,0.868952556031453,0.865913098656906,0.8686781714699762,-18.44961000423777,-18.419560568998392,-18.845255408916117,-18.44147215918349,-4.506706675131034,-4.499529123086795,122.11813179521135,140.56774179944912,0.00023392707183884898
incidence,Breast (Female),dep,3017,2794,7.4,0.8410617671522908,0.8231591754414009,0.85773509186042,0.841329632730391,0.8373894757757369,0.8401105302908192,-22.600791694152832,-22.56262444233171,-23.12378009929141,-22.735352913119243,-5.531992062831393,-5.523162759191282,119.59779255592099,142.19858425007382,0.00031848502519281715
incidence,Cervix,ice,3017,732,75.7,1.5583988837107061,1.4618053265554785,1.6590517653161783,1.501779213529982,1.2445540686700998,2.0269253871244226,3.3059337226382484,3.0422930801099737,1.5407859916798934,5.184453907396186,0.7854142553046687,0.7253435418124627,9.226313972450814,5.920380249812566,-0.03633194990868258
incidence,Cervix,dep,3017,732,75.7,1.6193424609092326,1.5132581816242323,1.7695282236774639,1.5646139481559973,1.1872347514058386,2.0212006259280737,3.544641536047263,3.260531834097814,1.0824015384203651,5.453392652566117,0.9009309592260438,0.8114178469627508,9.26787506155674,5.723233525509477,-0.033796750270172135
incidence,Stomach,ice,3017,1168,61.3,1.3694275961998155,1.2892788732723466,1.4680392069218404,1.3469542568673294,1.1434555941735074,1.6841292141107027,2.1965074107627327,2.06235735978123,0.9280513854941175,3.809551166784149,0.5391727003704414,0.5047699395624359,8.142212153336128,5.945704742573396,-0.01641075394920474
incidence,Stomach,dep,3017,1168,61.3,1.327214461371866,1.214134254024757,1.4282667455972338,1.2761572514712924,1.064416514287548,1.6735043009781625,2.0335487002940518,1.7141705078349068,0.40951257754521464,4.091009997349423,0.46559102159460825,0.39724659004312635,8.248276166092104,6.2147274657980525,-0.03846944965307157
mortality,Breast (Female),ice,3017,1744,42.2,1.1249072845058115,1.07070793057497,1.1809055238062853,1.1256403540503523,1.0570347649828455,1.178287127677938,2.2616886248009784,2.2766367857882877,1.0409229659970656,3.148441251262028,0.6121224489810716,0.6142146778838061,20.368627973848707,18.106939349047728,0.0006516710795974051
mortality,Breast (Female),dep,3017,1744,42.2,1.1299901688595946,1.0800588220120986,1.1945166302870076,1.1323545740313,1.0255215283158174,1.1737928457042124,2.3197005851444104,2.3634823209318085,0.4553325604847025,3.0684018158259683,0.624609032966804,0.6296947335517462,20.164900768321143,17.845200183176733,0.002092412161507147
mortality,Cervix,ice,3017,281,90.7,1.8558631868241775,1.6469793105173791,2.0851721974249067,1.559754570988475,0.8135128715727047,6.047054699376753,1.256628881057821,0.9590864397249625,-0.4697610717329588,3.9472456340410584,0.31698547366710617,0.24396523460229327,2.7248879444260576,1.4682590633682366,-0.15955304137608042
mortality,Cervix,dep,3017,281,90.7,1.7428440416799096,1.558473754757488,1.9752709557222703,1.5851822571479983,0.908728615693742,5.869032141592313,1.0843693377155987,0.9412479001173619,-0.16305168138505333,4.9026944643804145,0.30908490611288036,0.24793898042422227,2.544123036841117,1.4597536991255184,-0.0904623596612481
mortality,Stomach,ice,3017,591,80.4,1.5818460062334017,1.508242081373484,1.666590819935004,1.5090693314701236,0.9443379310843836,2.8806943789372266,1.3546620312006712,1.205226035602076,-0.18061204338306824,3.6177689119607876,0.3466210373389045,0.3044609607190805,3.682876054650137,2.328214023449466,-0.04600743338889834
mortality,Stomach,dep,3017,591,80.4,1.6165407298428756,1.4500259700004545,1.7808719167623792,1.4797774801193273,1.027561685256926,3.0187455689575935,1.521042811549298,1.1861018339914482,0.07570782935839038,4.61784286264545,0.3557758941840465,0.2756265639126343,3.9881025497387492,2.4670597381894512,-0.08460241502040061
